"Час визита","Визиты","Посетители","Просмотры","Отказы","Глубина просмотра","Время на сайте","Визитов в день","Достижения избранных целей","Доход по избранным целям, RUB","Конверсия посетителей по избранным целям"
"Итого и средние","100261","53862","115202","0.8861072600512663","1.1490210550463291","00:01:03","553.9281767955802","2525","0.0","0.03330734098251086"
"00:00","6857","6079","7887","0.8926644305089689","1.1502114627388071","00:01:05","37.88397790055249","182","0.0","0.027965125843066298"
"01:00","6227","5494","7085","0.8907981371446926","1.1377870563674322","00:00:53","34.40331491712707","127","0.0","0.02220604295595195"
"02:00","5079","4432","5814","0.8903327426658791","1.1447135262847017","00:00:57","28.060773480662984","116","0.0","0.02527075812274368"
"03:00","4112","3624","4734","0.8805933852140078","1.1512645914396886","00:01:05","22.718232044198896","107","0.0","0.02814569536423841"
"04:00","3901","3330","4595","0.8649064342476288","1.1779031017687773","00:01:06","21.552486187845304","133","0.0","0.03873873873873874"
"05:00","3566","3097","4149","0.8791362871564778","1.1634885025238362","00:01:07","19.701657458563535","104","0.0","0.031643525992896354"
"06:00","3084","2618","3676","0.8696498054474708","1.191958495460441","00:01:06","17.03867403314917","103","0.0","0.03361344537815126"
"07:00","2549","2179","2965","0.8893683797567674","1.1632012553942723","00:00:54","14.082872928176796","74","0.0","0.029371271225332722"
"08:00","1680","1486","1966","0.881547619047619","1.1702380952380953","00:00:56","9.281767955801104","56","0.0","0.034320323014804845"
"09:00","1072","955","1236","0.8880597014925374","1.1529850746268657","00:00:56","5.922651933701657","39","0.0","0.039790575916230364"
"10:00","755","676","872","0.8913907284768211","1.1549668874172185","00:00:56","4.171270718232044","23","0.0","0.029585798816568046"
"11:00","552","491","634","0.8659420289855072","1.1485507246376812","00:00:45","3.0497237569060776","14","0.0","0.0285132382892057"
"12:00","656","563","770","0.888719512195122","1.173780487804878","00:00:59","3.6243093922651934","24","0.0","0.04262877442273535"
"13:00","886","763","1058","0.8747178329571106","1.1941309255079007","00:00:59","4.895027624309392","30","0.0","0.028833551769331587"
"14:00","1424","1175","1667","0.889747191011236","1.1706460674157304","00:01:03","7.867403314917127","37","0.0","0.028085106382978724"
"15:00","2329","1857","2723","0.8754830399313009","1.1691713181623014","00:01:03","12.867403314917127","68","0.0","0.03500269251480883"
"16:00","3840","3124","4436","0.88359375","1.1552083333333334","00:01:12","21.215469613259668","100","0.0","0.02720870678617158"
"17:00","6540","5365","7475","0.8928134556574924","1.142966360856269","00:01:00","36.13259668508287","161","0.0","0.027213420316868592"
"18:00","8355","7140","9586","0.889048473967684","1.1473369239976061","00:01:12","46.16022099447514","208","0.0","0.025070028011204483"
"19:00","8812","7584","10039","0.8823195642305948","1.1392419428052656","00:01:03","48.68508287292818","186","0.0","0.022415611814345992"
"20:00","8285","7306","9337","0.8939046469523235","1.1269764634882318","00:00:59","45.773480662983424","163","0.0","0.021215439364905556"
"21:00","7019","6207","7945","0.8912950562758227","1.1319276250178087","00:01:00","38.77900552486188","151","0.0","0.023038504913806993"
"22:00","6318","5669","7296","0.8819246597024375","1.154795821462488","00:01:10","34.9060773480663","159","0.0","0.026636091021344153"
"23:00","6363","5675","7257","0.8888888888888888","1.1404997642621404","00:01:03","35.15469613259668","160","0.0","0.02696035242290749"
